translator,family,language,conversational_cosine,conversational_bleu,conversational_ter,conversational_embedding,cultural_cosine,cultural_bleu,cultural_ter,cultural_embedding,idiomatic_cosine,idiomatic_bleu,idiomatic_ter,idiomatic_embedding,technical_cosine,technical_bleu,technical_ter,technical_embedding,legal_cosine,legal_bleu,legal_ter,legal_embedding,emotional_cosine,emotional_bleu,emotional_ter,emotional_embedding,topical_cosine,topical_bleu,topical_ter,topical_embedding
nllb,germanic,da,0.984714,53.5077,32.9399,0.8057050108909607,0.974825,57.2993,26.6766,0.9011210203170776,0.978309,57.65,27.5353,0.8798059821128845,0.968552,54.5235,28.7392,0.8820300102233887,0.971653,36.4958,43.8064,0.8155879974365234,0.987081,57.0137,27.259,0.9032509922981262,0.9775223333333333,52.748333333333335,31.159400000000005,0.8645835022131602
nllb,germanic,no,0.988116,63.9747,24.8927,0.8405569791793823,0.976569,59.0149,23.5469,0.9099329710006714,0.982484,63.5967,21.6924,0.8868950009346008,0.966074,53.4001,27.4863,0.8880810141563416,0.971055,39.2031,41.196,0.8216120004653931,0.989511,60.2822,23.8454,0.9101719856262207,0.9789681666666668,56.57861666666667,27.10995,0.8762083252271017
nllb,germanic,af,0.985964,58.2205,31.2232,0.8276839852333069,0.973529,53.8451,29.1356,0.888355016708374,0.978447,54.7577,30.2216,0.8676239848136902,0.971856,58.775,24.354,0.8819699883460999,0.979476,47.9583,34.0294,0.8575630187988281,0.986518,55.7229,28.5141,0.8954660296440125,0.9792983333333334,54.87991666666667,29.579649999999997,0.8697770039240519
nllb,germanic,is,0.982351,49.0349,37.9828,0.7678279876708984,0.954632,37.1286,41.8778,0.8131060004234314,0.964447,42.8319,38.8852,0.7699049711227417,0.926445,23.6409,55.5208,0.6403809785842896,0.958892,25.4696,56.336,0.7067800164222717,0.98037,45.0032,40.3112,0.8292589783668518,0.9611895,37.18484999999999,45.1523,0.7545431554317474
nllb,slavic,ru,0.982426,48.0701,39.6996,0.7769269943237305,0.967109,45.3674,36.5127,0.8689320087432861,0.968939,46.5409,37.2733,0.8400999903678894,0.956321,38.9367,42.6782,0.8524889945983887,0.971526,38.5289,44.6607,0.8217319846153259,0.982182,44.1228,38.8554,0.8654860258102417,0.9714171666666666,43.59446666666667,39.94665,0.8376109997431437
nllb,slavic,pl,0.980795,45.9229,41.2017,0.763264000415802,0.965595,43.8212,38.301,0.8749139904975891,0.966878,42.1002,41.0343,0.8044700026512146,0.952055,34.6003,48.7079,0.8246639966964722,0.970011,33.5065,48.7423,0.8139489889144897,0.982659,43.7058,39.6084,0.8656709790229797,0.9696655,40.60948333333334,42.9326,0.8244886596997579
nllb,slavic,cs,0.98429,48.9535,36.3734,0.7773370146751404,0.963761,40.6337,41.0581,0.8630719780921936,0.96453,42.5626,41.4372,0.813480019569397,0.954359,35.2326,46.9851,0.8367969989776611,0.970954,35.6403,46.7489,0.8057339787483215,0.981426,44.1215,40.2108,0.873682975769043,0.9698866666666666,41.1907,42.13558333333333,0.8283504943052927
nllb,slavic,uk,0.981878,49.4369,38.0901,0.7654169797897339,0.961327,40.5052,39.7914,0.8531590104103088,0.968264,44.5789,38.6165,0.8268610239028931,0.945651,29.2385,72.7486,0.8001790046691895,0.971674,38.7266,44.2335,0.8158980011940002,0.982415,44.6272,38.1526,0.8532019853591919,0.9685348333333333,41.18555,45.27211666666667,0.8191193342208862
nllb,slavic,bg,0.984808,50.7842,35.7296,0.7934240102767944,0.967214,48.9129,34.4262,0.8705880045890808,0.970623,48.091,34.8556,0.8298140168190002,0.9537,35.8118,48.7079,0.8147050142288208,0.969199,32.3462,48.0778,0.7929499745368958,0.983973,47.7437,35.743,0.8812159895896912,0.9715861666666666,43.94830000000001,39.59001666666666,0.8304495016733805
nllb,slavic,sr,0.981029,52.8499,35.9442,0.7873430252075195,0.961609,42.0224,38.7481,0.866523027420044,0.967778,42.7764,39.2881,0.8114609718322754,0.954135,39.8999,42.4432,0.8217080235481262,0.972311,41.4419,41.4808,0.8199380040168762,0.983729,48.7043,34.2369,0.8650130033493042,0.9700985000000001,44.6158,38.690216666666664,0.8286643425623575
nllb,slavic,hr,0.985893,58.6356,29.5064,0.8133450150489807,0.961617,39.8604,48.0626,0.8606060147285461,0.969322,48.848,35.2586,0.8373069763183594,0.931732,14.0807,97.4158,0.7765250205993652,0.904445,7.1901,158.0921,0.723675012588501,0.982932,46.9742,36.7972,0.878167986869812,0.9559901666666667,35.9315,67.52211666666666,0.8149376710255941
nllb,slavic,sk,0.986063,50.9996,35.515,0.7864369750022888,0.96543,39.532,43.1446,0.8609690070152283,0.964281,42.4773,40.497,0.8153200149536133,0.950869,36.105,47.0634,0.8288609981536865,0.96919,33.7116,46.2269,0.8043929934501648,0.982434,44.4642,38.7048,0.8620719909667969,0.9697111666666668,41.214949999999995,41.85861666666667,0.8263419965902964
nllb,slavic,sl,0.982721,45.8606,40.3433,0.7777310013771057,0.958066,32.5975,50.5216,0.8279749751091003,0.960388,35.9474,46.7428,0.7886409759521484,0.946194,29.2678,55.9906,0.7799779772758484,0.966235,29.8047,52.9663,0.8001369833946228,0.980663,43.0331,41.3153,0.8584989905357361,0.9657111666666666,36.08518333333333,47.97998333333334,0.8054934839407603
nllb,semitic,ar,0.985547,55.3731,32.5107,0.8359469771385193,0.963246,44.5674,37.0343,0.8333280086517334,0.972372,52.8777,32.908,0.8250349760055542,0.943643,32.8492,48.7079,0.7356020212173462,0.970957,37.7949,43.5216,0.8053770065307617,0.982888,45.9271,36.4458,0.8741090297698975,0.9697755,44.89823333333333,38.52138333333333,0.8182330032189687
nllb,semitic,iw,0.987713,60.2128,27.5751,0.8138229846954346,0.967642,48.8801,32.2653,0.8555200099945068,0.97397,53.4589,30.3559,0.8219389915466309,0.93902,30.2442,50.6656,0.7261599898338318,0.96777,34.1055,46.6065,0.7623890042304993,0.984105,48.9648,33.7851,0.8614799976348877,0.9700366666666665,45.97771666666667,36.87558333333333,0.8068851629892985
nllb,semitic,mt,0.981928,52.7127,34.0129,0.7577270269393921,0.966815,46.5154,35.544,0.8533390164375305,0.969376,44.9136,36.6689,0.7802029848098755,0.960968,44.7992,38.0579,0.8498219847679138,0.978255,46.2463,37.2568,0.865822970867157,0.982248,48.855,34.4378,0.8219919800758362,0.973265,47.34036666666666,35.996383333333334,0.8214843273162842
nllb,east_asian,zh-CN,0.977723,36.3286,51.073,0.7227799892425537,0.952197,29.4183,56.4829,0.8319050073623657,0.953768,28.6559,57.824,0.7455120086669922,0.943648,27.7044,59.906,0.8134880065917969,0.9596,26.2118,58.4718,0.7862060070037842,0.970352,28.3631,60.9438,0.7828140258789062,0.9595480000000002,29.44701666666667,57.450250000000004,0.7804508407910665
nllb,east_asian,ja,0.969053,26.5994,59.3348,0.6565449833869934,0.94742,24.5228,59.538,0.7872949838638306,0.956056,26.4409,59.9731,0.7304120063781738,0.952849,37.0668,48.1597,0.8757960200309753,0.964474,29.3019,53.2985,0.7977870106697083,0.972601,27.1929,57.8815,0.7795529961585999,0.9604088333333333,28.52078333333333,56.36426666666667,0.7712313334147135
nllb,east_asian,ko,0.976889,34.3755,51.7167,0.7096459865570068,0.957342,31.3575,50.4471,0.8593639731407166,0.96198,36.1915,53.1229,0.784650981426239,0.95109,33.4958,49.491,0.8538259863853455,0.964943,30.1484,52.5392,0.7881039977073669,0.972106,29.7906,60.1908,0.8226159811019897,0.9640583333333334,32.55988333333334,52.91795,0.8030344843864441
nllb,south_se_asian,hi,0.983752,53.0871,35.8369,0.7964990139007568,0.962828,40.4696,42.3249,0.8670480251312256,0.972772,46.9185,41.0343,0.8337739706039429,0.966259,49.2423,32.1065,0.9080809950828552,0.974408,39.1555,42.2402,0.8282300233840942,0.981662,42.0688,39.8594,0.8498039841651917,0.9736135,45.15696666666667,38.90036666666666,0.8472393353780111
nllb,south_se_asian,bn,0.978345,42.7005,45.9227,0.724327027797699,0.957168,36.8238,47.6155,0.8477360010147095,0.961312,37.7665,48.6232,0.7527890205383301,0.964095,45.4949,36.2569,0.8837630152702332,0.965862,30.8824,52.1595,0.7844460010528564,0.969191,33.6373,57.5803,0.8012340068817139,0.9659955,37.884233333333334,48.02635,0.799049178759257
nllb,south_se_asian,ur,0.986446,54.1234,34.2275,0.8150240182876587,0.962883,41.9493,40.2385,0.8519139885902405,0.972601,45.2572,41.7058,0.8028709888458252,0.960557,41.7421,40.7987,0.863768994808197,0.969241,35.1991,47.1761,0.8122529983520508,0.978772,40.4894,44.9297,0.828819990158081,0.9717500000000001,43.126749999999994,41.51271666666667,0.8291084965070089
nllb,south_se_asian,ta,0.981345,46.9429,40.6652,0.7653539776802063,0.963398,37.8795,44.4858,0.8491439819335938,0.958754,35.5534,61.7193,0.7953130006790161,0.943275,32.0222,49.9608,0.781266987323761,0.964805,29.7687,52.3968,0.770455002784729,0.977831,34.923,58.2329,0.8266010284423828,0.9649013333333333,36.18161666666666,51.243466666666656,0.7980223298072815
nllb,south_se_asian,te,0.982862,50.8657,37.5536,0.776902973651886,0.971825,45.407,36.0656,0.8886229991912842,0.972824,43.4602,39.0866,0.8523129820823669,0.961551,42.3661,40.4072,0.8637740015983582,0.965151,29.6437,52.5866,0.7726719975471497,0.977702,37.3111,47.3896,0.8410000205039978,0.9719858333333332,41.508966666666666,42.181533333333334,0.8325474957625071
nllb,south_se_asian,th,0.98135,41.8194,41.9528,0.7389199733734131,0.938875,28.9162,65.5738,0.798874020576477,0.962765,40.2601,40.9671,0.7887700200080872,0.924631,20.2569,71.0258,0.7180320024490356,0.931907,16.1295,99.1457,0.7155969738960266,0.968919,33.6249,53.2631,0.794435977935791,0.9514078333333332,30.167833333333334,61.98805000000001,0.7591048280398051
nllb,south_se_asian,vi,0.981318,48.2826,39.5923,0.7766379714012146,0.961723,42.2854,38.4501,0.8510209918022156,0.970343,48.1865,34.9899,0.8261849880218506,0.949067,37.4797,44.2443,0.813277006149292,0.974295,41.0819,40.9587,0.8272429704666138,0.981442,44.0385,36.9478,0.852383017539978,0.9696980000000001,43.5591,39.197183333333335,0.8244578242301941
nllb,south_se_asian,id,0.986074,57.584,29.2918,0.8308259844779968,0.961144,42.9622,37.3323,0.8499410152435303,0.971265,53.8216,31.2962,0.826649010181427,0.962101,45.7569,36.2569,0.9051380157470703,0.972698,41.0865,39.7247,0.8397359848022461,0.978078,43.6475,37.8012,0.8313249945640564,0.9718933333333334,47.47645,35.28385,0.8472691675027212
nllb,south_se_asian,ms,0.984777,51.386,33.2618,0.8083800077438354,0.960192,40.516,39.9404,0.8323100209236145,0.968852,48.8034,35.1914,0.8025109767913818,0.959752,41.9178,39.3892,0.8737670183181763,0.971663,41.2055,40.1519,0.8251039981842041,0.976008,44.8495,37.6506,0.8199380040168762,0.9702073333333333,44.7797,37.597550000000005,0.827001670996348
nllb,turkic,tr,0.982868,44.6241,42.0601,0.7649210095405579,0.950739,34.119,51.3413,0.8208360075950623,0.957469,30.6623,57.0181,0.7311090230941772,0.95598,42.0134,41.1903,0.8246909976005554,0.967725,32.863,49.0271,0.7833889722824097,0.974878,35.8158,48.4438,0.8039600253105164,0.9649431666666667,36.68293333333333,48.18011666666666,0.7881510059038798
nllb,turkic,az,0.979994,40.529,48.176,0.7360380291938782,0.952008,32.0944,53.8748,0.79756098985672,0.95591,29.4088,60.3089,0.713126003742218,0.94768,34.5603,48.7079,0.7963039875030518,0.9627,28.7462,56.0513,0.7784029841423035,0.969917,32.0569,53.8153,0.7691249847412109,0.9613681666666666,32.89926666666667,53.48903333333333,0.7650928298632304
nllb,turkic,kk,0.975199,33.6172,55.3648,0.6874439716339111,0.940878,24.2357,62.8167,0.7366260290145874,0.941913,19.719,70.5171,0.6242579817771912,0.94009,24.6124,60.2193,0.7725149989128113,0.954251,20.3364,75.178,0.7455080151557922,0.960296,19.6719,67.1687,0.7038570046424866,0.9521044999999999,23.698766666666668,65.21076666666667,0.7117013335227966
nllb,turkic,uz,0.980024,39.022,50.6438,0.7066580057144165,0.945871,26.8564,58.1967,0.7743489742279053,0.952493,25.6061,60.8462,0.6776400208473206,0.937187,22.6613,77.5255,0.7729030251502991,0.960741,22.7695,61.4143,0.7673559784889221,0.968159,29.0402,57.8815,0.7559739947319031,0.9574124999999999,27.65925,61.084666666666664,0.7424799998601278
nllb,uralic,fi,0.978254,41.9665,45.279,0.7526599764823914,0.947414,34.1098,49.1058,0.7894690036773682,0.956439,32.346,49.2277,0.734021008014679,0.932617,24.0208,60.2193,0.7411860227584839,0.958861,24.2343,60.4651,0.7407439947128296,0.974987,38.9126,43.5241,0.8123810291290283,0.9580953333333332,32.598333333333336,51.30349999999999,0.7617435057957967
nllb,uralic,et,0.982934,50.4938,38.1974,0.7769150137901306,0.952922,34.8132,47.1684,0.8057870268821716,0.95655,35.4164,47.9516,0.7295609712600708,0.944089,28.5867,55.2075,0.7769950032234192,0.963341,26.8078,55.0546,0.7754030227661133,0.975014,37.7436,44.4277,0.8004090189933777,0.962475,35.64358333333334,48.001200000000004,0.7775116761525472
nllb,uralic,hu,0.980717,44.8607,40.5579,0.752610981464386,0.956353,37.267,45.38,0.8274880051612854,0.959888,34.7711,48.2203,0.7418280243873596,0.948227,31.9753,49.9608,0.7890269756317139,0.963023,26.4822,63.7874,0.7833439707756042,0.974867,35.8964,47.239,0.8121569752693176,0.9638458333333332,35.208783333333336,49.1909,0.7844091554482778
